"Age","Source subset","addis ababa","afar","amhara","benishangul","dire dawa","gambela","harari","oromia","snnpr","somali","tigray"
15,"dhs_need_status: FALSE",411,243,282,203,250,179,165,370,369,311,376
15,"dhs_need_status: TRUE",21,23,73,34,15,33,18,45,22,8,47
15,"dhs_total: NA",432,266,355,237,265,212,183,415,391,319,423
15,"pma_need_status: FALSE",161,53,271,34,7,17,10,374,358,48,254
15,"pma_need_status: TRUE",10,5,46,6,NA,2,2,47,34,1,25
15,"pma_total: NA",171,58,317,40,7,19,12,421,392,49,279
20,"dhs_need_status: FALSE",280,170,150,105,136,122,127,170,200,222,175
20,"dhs_need_status: TRUE",82,64,127,105,68,79,69,156,122,32,142
20,"dhs_total: NA",362,234,277,210,204,201,196,326,322,254,317
20,"pma_need_status: FALSE",150,53,114,22,10,4,3,195,184,34,146
20,"pma_need_status: TRUE",48,12,105,17,3,7,4,135,152,5,80
20,"pma_total: NA",198,65,219,39,13,11,7,330,336,39,226
25,"dhs_need_status: FALSE",175,163,131,80,130,120,86,120,176,204,111
25,"dhs_need_status: TRUE",146,66,186,120,96,73,74,219,193,39,137
25,"dhs_total: NA",321,229,317,200,226,193,160,339,369,243,248
25,"pma_need_status: FALSE",110,38,91,32,5,4,9,151,133,28,114
25,"pma_need_status: TRUE",74,11,142,10,6,4,3,187,202,6,117
25,"pma_total: NA",184,49,233,42,11,8,12,338,335,34,231
30,"dhs_need_status: FALSE",157,105,94,70,92,98,65,108,101,154,92
30,"dhs_need_status: TRUE",113,44,158,88,73,71,62,197,162,34,103
30,"dhs_total: NA",270,149,252,158,165,169,127,305,263,188,195
30,"pma_need_status: FALSE",71,27,66,15,1,3,7,111,98,21,84
30,"pma_need_status: TRUE",69,9,97,16,5,4,4,140,115,3,63
30,"pma_total: NA",140,36,163,31,6,7,11,251,213,24,147
35,"dhs_need_status: FALSE",123,75,74,64,70,76,62,100,93,136,111
35,"dhs_need_status: TRUE",89,29,153,99,47,48,52,139,138,31,108
35,"dhs_total: NA",212,104,227,163,117,124,114,239,231,167,219
35,"pma_need_status: FALSE",45,20,64,15,6,3,6,82,71,21,65
35,"pma_need_status: TRUE",52,5,94,8,2,3,5,112,107,4,51
35,"pma_total: NA",97,25,158,23,8,6,11,194,178,25,116
40,"dhs_need_status: FALSE",96,49,62,36,62,49,54,57,54,111,73
40,"dhs_need_status: TRUE",41,23,97,64,25,25,30,90,109,25,70
40,"dhs_total: NA",137,72,159,100,87,74,84,147,163,136,143
40,"pma_need_status: FALSE",42,15,54,11,1,3,2,49,51,27,49
40,"pma_need_status: TRUE",26,5,64,7,2,4,2,65,57,6,36
40,"pma_total: NA",68,20,118,18,3,7,4,114,108,33,85
45,"dhs_need_status: FALSE",67,58,68,33,46,49,30,59,47,68,100
45,"dhs_need_status: TRUE",23,16,64,25,21,13,12,62,63,16,37
45,"dhs_total: NA",90,74,132,58,67,62,42,121,110,84,137
45,"pma_need_status: FALSE",44,24,66,6,2,1,1,72,26,7,50
45,"pma_need_status: TRUE",8,1,48,2,2,2,1,45,27,4,30
45,"pma_total: NA",52,25,114,8,4,3,2,117,53,11,80
