"admin_1","source","year","prev_met_mod_need","prev_met_mod_need_se","N"
"addis ababa","dhs",2016,0.777318925121471,0.0194037961921255,515
"afar","dhs",2016,0.381680085093954,0.0487966761903692,265
"amhara","dhs",2016,0.683724264742871,0.0240153033638775,858
"benishangul","dhs",2016,0.465934558951149,0.042228933199474,535
"dire dawa","dhs",2016,0.568387889552194,0.0428687579055152,345
"gambela","dhs",2016,0.724763292633657,0.0399274312142143,342
"harari","dhs",2016,0.55144142531379,0.03443738847569,317
"oromia","dhs",2016,0.435100470642246,0.0285291850512408,908
"snnpr","dhs",2016,0.600419481212776,0.0281686600103836,809
"somali","dhs",2016,0.0610797428793689,0.0217389360983736,185
"tigray","dhs",2016,0.618714349759373,0.0241588306070101,644
"addis ababa","pma2020",2016,0.78487802125494,0.0260251827078914,286
"afar","pma2020",2016,0.60465640418968,0.0624616977237439,47
"amhara","pma2020",2016,0.739558794278888,0.0372008732549785,590
"benishangul","pma2020",2016,0.375865983669548,0.132623056491896,66
"dire dawa","pma2020",2016,0.920513265522709,0.103329905172419,20
"gambela","pma2020",2016,0.569245802638469,0.0630359246267204,26
"harari","pma2020",2016,0.565756676979062,0.319064649405173,21
"oromia","pma2020",2016,0.491774050258195,0.0569341440433748,726
"snnpr","pma2020",2016,0.632199018311548,0.0587606898216049,691
"somali","pma2020",2016,0.607925441751943,0.105927159149386,28
"tigray","pma2020",2016,0.552506210737804,0.0680012608286945,400
